id,player_id,question_id,option_chosen,is_other,other_text,reaction_time_ms,score_react,score_trust,score_indep,score_adapt,score_mobil,score_safety,created_at
0013990e-7f8e-4481-9ab3-c15f90879f26,89059b4e-8e08-4ab2-a072-d22c29b1e17d,79043a5f-79fc-41ab-90ab-3f2be40d80d9,C,false,,,0,-1,2,0,0,0,2026-04-04 11:23:22.361893
0164c5c9-9896-4bf5-b59d-ffd9f2debdbd,86ccee56-599a-4d63-ac67-4e41d3ecfcd2,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,B,false,,,0,2,0,0,0,0,2026-04-07 14:26:46.690369
02346386-6bd4-4706-b4cc-37cdb61e226c,582b3919-24bb-475f-a128-feb76064cdb7,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,C,false,,,0,-1,1,1,1,0,2026-03-23 00:31:32.746382
02dc2c75-0a9e-489a-bc94-8eaac6077d78,43f5c91c-4e43-45ad-9082-63fb43956e63,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,B,false,,,0,2,0,0,0,0,2026-03-22 21:07:18.369523
03fd749b-7087-4a21-9507-456216436658,54bd08f6-0004-41cf-95ca-a74cff42f614,4279db11-59df-43e4-be12-42cb42099b86,A,false,,,1,2,-1,1,1,2,2026-04-04 12:23:25.874615
05e1991d-88a9-40e2-81f7-38adcc45bf85,fb106834-477d-4a56-ad4f-9f17bc37192e,79043a5f-79fc-41ab-90ab-3f2be40d80d9,C,false,,,0,-1,2,0,0,0,2026-03-25 12:59:44.643751
060877a8-26b0-4d56-ac37-8878a20dc23a,54bd08f6-0004-41cf-95ca-a74cff42f614,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,A,false,,,0,2,-1,2,2,2,2026-04-04 12:23:25.874615
06f72f14-7c51-458e-905a-68648a252840,3e330fb7-20e4-4d14-8057-0c22db928d2c,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,A,false,,,0,2,-1,2,2,2,2026-03-23 00:39:10.256722
06f8b0a9-9ad7-4cf2-adcb-43ff408e24a6,fb106834-477d-4a56-ad4f-9f17bc37192e,4279db11-59df-43e4-be12-42cb42099b86,A,false,,,1,2,-1,1,1,2,2026-03-25 12:59:44.643751
07416bfc-0345-4069-ac65-d6099e83df70,7c2e1bd2-e7a3-4785-ba86-4d47ce11d228,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,A,false,,,0,2,-2,-1,-1,2,2026-03-23 12:47:40.423283
07da4c5a-6a46-4ace-9ff5-a33c04708688,38ebea23-868c-4797-82ee-e0cf40275294,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,A,false,,,0,0,-2,0,0,0,2026-04-07 12:16:59.427667
0828a8a9-e42c-4ab4-b52a-e750879b1e3e,696673f8-5e34-40e0-97d6-b32cf55ae28e,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,C,false,,,1,0,2,0,2,-1,2026-04-04 15:05:27.696447
09163857-23bc-4ee7-829f-a375b0e1f0ac,83e3145a-e77c-4e31-bd56-98f37dcdbd88,79043a5f-79fc-41ab-90ab-3f2be40d80d9,B,false,,,2,0,0,1,1,2,2026-03-25 08:36:35.593286
09d866b8-5168-4909-8410-c113a9993fad,f237ff23-f7f9-4684-a273-8db0e9d76e33,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,B,false,,,2,-1,2,1,2,-2,2026-03-22 21:29:09.853026
0b7bc49e-6605-4c6d-bdfc-1977164089c4,4512d124-9fb2-4d9f-97e6-bce030eedebc,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,A,false,,,0,0,-2,0,0,0,2026-04-06 13:07:08.739278
0c47cd0f-6503-4321-a804-2247f027f06a,317b387f-1a0b-41aa-af6c-4c0ba08947c6,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,D,false,,,1,-1,2,1,1,1,2026-04-08 08:54:35.023653
0d2a5805-dd02-4290-9ee3-3779a33c7158,cafcf917-286b-4a7f-b424-cf95f42e2c54,4279db11-59df-43e4-be12-42cb42099b86,B,false,,,1,0,-2,1,1,0,2026-04-07 12:25:59.979586
0ddbd7ff-7647-4525-98f3-ab66dbbc8653,f732f357-9526-44fa-9987-ac8d181e2263,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,B,false,,,0,-1,2,0,0,-2,2026-04-07 21:06:54.085106
0f798469-d6d5-43f8-8523-13cf28b4941a,acfebdb8-ab56-410d-a74b-0a8a67665f9f,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,C,false,,,1,0,2,0,2,-1,2026-04-06 08:12:08.717325
0fcd63a0-8395-455a-a6c0-65a369b060be,582b3919-24bb-475f-a128-feb76064cdb7,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,A,false,,,0,2,-2,-1,-1,2,2026-03-23 00:31:32.746382
1109845f-51dd-445b-8730-f514e4524b8e,696673f8-5e34-40e0-97d6-b32cf55ae28e,4279db11-59df-43e4-be12-42cb42099b86,A,false,,,1,2,-1,1,1,2,2026-04-04 15:05:27.696447
1161b288-add0-4abf-99f5-7c0ea84f4748,2d85810f-378c-46c5-8c97-45714a51ddf7,4279db11-59df-43e4-be12-42cb42099b86,A,false,,,1,2,-1,1,1,2,2026-03-23 10:58:54.998056
